id,apellido,nombre,genero,distrito,inicio,fin,juramento,cese,bloque,bloque_inicio,bloque_fin
hcdn1042,randazzo,florencio,m,buenos aires,2021-12-10,2025-12-09,2021-12-07,2025-12-09,hacemos coalición federal,2023-12-27,2024-08-07
hcdn1042,randazzo,florencio,m,buenos aires,2021-12-10,2025-12-09,2021-12-07,2025-12-09,encuentro federal,2024-08-07,2025-12-09
hcdn1292,rasino,elida elena,f,santa fe,2011-12-10,2015-12-09,2011-12-06,2015-12-09,partido socialista,2011-12-10,2015-12-09
hcdn2408,rauschenberger,ariel,m,la pampa,2017-12-10,2021-12-09,2017-12-06,2021-12-09,justicialista,2017-12-10,2019-12-09
hcdn2408,rauschenberger,ariel,m,la pampa,2017-12-10,2021-12-09,2017-12-06,2021-12-09,frente de todos,2019-12-10,2021-12-09
hcdn2408,rauschenberger,ariel,m,la pampa,2023-12-10,2027-12-09,2023-12-07,2027-12-09,unión por la patria,2023-12-10,2027-12-09
hcdn3159,ravera,valentina,f,santa fe,2025-12-10,2029-12-09,,2029-12-09,la libertad avanza,2025-12-10,2029-12-09
hcdn1453,raverta,maria fernanda,f,buenos aires,2015-12-10,2019-12-09,2015-12-04,2019-12-09,frente para la victoria - pj,2015-12-10,2019-12-09
hcdn3234,ravier,adrian,m,la pampa,2025-12-10,2029-12-09,,2029-12-09,la libertad avanza,2025-12-10,2029-12-09
hcdn3110,razzini,veronica,f,santa fe,2023-12-10,2027-12-09,2023-12-07,2027-12-09,pro,2023-12-10,2025-05-05
hcdn3110,razzini,veronica,f,santa fe,2023-12-10,2027-12-09,2023-12-07,2027-12-09,futuro y libertad,2025-05-05,2025-12-01
hcdn3110,razzini,veronica,f,santa fe,2023-12-10,2027-12-09,2023-12-07,2027-12-09,la libertad avanza,2025-12-01,2027-12-09
hcdn1205,re,hilma leonor,f,entre rios,2009-12-10,2013-12-09,2009-12-03,2013-12-09,coalicion civica,2009-12-10,2011-12-05
hcdn1205,re,hilma leonor,f,entre rios,2009-12-10,2013-12-09,2009-12-03,2013-12-09,coalicion civica - ari,2011-12-06,2013-12-09
hcdn0910,recalde,hector pedro,m,buenos aires,2009-12-10,2013-12-09,2009-12-03,2013-12-09,frente para la victoria - pj,2009-12-10,2013-12-09
hcdn0910,recalde,hector pedro,m,buenos aires,2013-12-10,2017-12-09,2013-12-04,2017-12-09,frente para la victoria - pj,2013-12-10,2017-12-09
hcdn1293,redczuk,oscar felipe,m,misiones,2011-12-10,2015-12-09,2011-12-06,2015-12-09,frente para la victoria - pj,2011-12-10,2015-12-09
hcdn1206,regazzoli,maria cristina,f,la pampa,2009-12-10,2013-12-09,2009-12-03,2013-12-09,partido justicialista la pampa,2009-12-10,2013-12-09
hcdn2409,regidor belledone,estela mercedes,f,corrientes,2017-12-10,2021-12-09,2017-12-06,2021-12-09,ucr,2017-12-10,2021-12-09
hcdn3175,reichardt,karen,f,buenos aires,2025-12-10,2029-12-09,,2029-12-09,la libertad avanza,2025-12-10,2029-12-09
hcdn1017,rejal,jesus fernando,m,la rioja,2007-12-10,2011-12-09,2007-12-05,2009-11-24,frente para la victoria - pj,2007-12-10,2009-11-24
hcdn2795,rey,maria lujan,f,buenos aires,2019-12-10,2023-12-09,2019-12-04,2023-12-09,pro,2019-12-10,2023-12-09
hcdn1030,reyes,maria fernanda,f,ciudad de buenos aires,2007-12-10,2011-12-09,2007-12-05,2011-12-09,coalicion civica - ari - gen - upt,2007-12-10,2009-12-09
hcdn1030,reyes,maria fernanda,f,ciudad de buenos aires,2007-12-10,2011-12-09,2007-12-05,2011-12-09,coalicion civica,2009-12-10,2011-12-09
hcdn2410,reyes,roxana nahir,f,santa cruz,2017-12-10,2021-12-09,2017-12-06,2021-12-09,ucr,2017-12-10,2021-12-09
hcdn2410,reyes,roxana nahir,f,santa cruz,2021-12-10,2025-12-09,2021-12-07,2025-12-09,ucr,2021-12-10,2023-12-09
hcdn2410,reyes,roxana nahir,f,santa cruz,2021-12-10,2025-12-09,2021-12-07,2025-12-09,ucr - unión cívica radical,2023-12-10,2025-12-09
hcdn2820,rezinovsky,dina,f,ciudad de buenos aires,2019-12-10,2023-12-09,2019-12-04,2023-12-09,pro,2019-12-10,2023-12-09
hcdn1397,riccardo,jose luis,m,san luis,2013-12-10,2017-12-09,2013-12-04,2017-12-09,ucr,2013-12-10,2017-12-09
hcdn1397,riccardo,jose luis,m,san luis,2017-12-10,2021-12-09,2017-12-06,2021-12-09,ucr,2017-12-10,2021-12-09
hcdn2439,ricci,nadia lorena,f,santa cruz,2015-12-10,2019-12-09,2018-03-14,2019-12-09,ucr,2018-03-14,2019-12-09
hcdn3229,riesco,gaston,m,neuquen,2025-12-10,2029-12-09,,2029-12-09,la libertad avanza,2025-12-10,2029-12-09
hcdn1294,riestra,antonio sabino,m,santa fe,2011-12-10,2015-12-09,2011-12-06,2015-12-09,unidad popular,2011-12-10,2015-12-09
hcdn1083,rioboo,sandra adriana,f,buenos aires,2007-12-10,2011-12-09,2007-12-19,2011-12-09,ucr,2007-12-10,2011-12-09
hcdn1295,rios,liliana maria,f,entre rios,2011-12-10,2015-12-09,2011-12-06,2015-12-09,frente para la victoria - pj,2011-12-10,2015-12-09
hcdn0825,rios,roberto fabian,m,corrientes,2011-12-10,2015-12-09,2011-12-06,2013-12-10,frente para la victoria - pj,2011-12-10,2013-12-10
hcdn3149,ripoll,vilma,f,buenos aires,2021-12-10,2025-12-09,2025-04-16,2025-12-09,no integra bloque,2025-04-16,2025-04-20
hcdn3149,ripoll,vilma,f,buenos aires,2021-12-10,2025-12-09,2025-04-16,2025-12-09,mst - frente de izquierda y trabajadores unidad,2025-04-21,2025-12-09
hcdn1207,risko,silvia lucrecia,f,misiones,2009-12-10,2013-12-09,2009-12-03,2013-12-09,frente para la victoria - pj,2009-12-10,2013-12-09
hcdn1207,risko,silvia lucrecia,f,misiones,2013-12-10,2017-12-09,2013-12-04,2017-12-09,frente para la victoria - pj,2013-12-10,2016-06-15
hcdn1207,risko,silvia lucrecia,f,misiones,2013-12-10,2017-12-09,2013-12-04,2017-12-09,frente de la concordia misionero,2016-06-16,2017-12-09
hcdn1510,rista,olga maria,f,cordoba,2015-12-10,2019-12-09,2015-12-04,2019-12-09,ucr,2015-12-10,2019-12-09
hcdn0788,ritondo,cristian a.,m,buenos aires,2019-12-10,2023-12-09,2019-12-04,2023-12-09,pro,2019-12-10,2023-12-09
hcdn0788,ritondo,cristian a.,m,buenos aires,2023-12-10,2027-12-09,2023-12-07,2027-12-09,pro,2023-12-10,2027-12-09
hcdn1208,rivara,raul alberto,m,buenos aires,2009-12-10,2013-12-09,2009-12-03,2013-12-09,peronismo federal,2009-12-10,2011-10-25
hcdn1208,rivara,raul alberto,m,buenos aires,2009-12-10,2013-12-09,2009-12-03,2013-12-09,union peronista,2011-10-26,2013-09-10
hcdn1208,rivara,raul alberto,m,buenos aires,2009-12-10,2013-12-09,2009-12-03,2013-12-09,frente renovador,2013-09-11,2013-12-09
hcdn1296,rivarola,ruben armando,m,jujuy,2011-12-10,2015-12-09,2011-12-06,2015-12-09,frente para la victoria - pj,2011-12-10,2015-12-09
hcdn0235,rivas,jorge,m,buenos aires,2007-12-10,2011-12-09,2009-05-20,2011-12-09,encuentro popular y social,2009-05-20,2009-12-09
hcdn0235,rivas,jorge,m,buenos aires,2007-12-10,2011-12-09,2009-05-20,2011-12-09,nuevo encuentro popular y solidario,2009-12-10,2011-12-09
hcdn0235,rivas,jorge,m,buenos aires,2011-12-10,2015-12-09,2011-12-06,2015-12-09,frente para la victoria - pj,2011-12-10,2015-12-09
hcdn2754,rizzotti,jorge,m,jujuy,2019-12-10,2023-12-09,2019-12-04,2023-12-09,ucr,2019-12-10,2023-12-09
hcdn2754,rizzotti,jorge,m,jujuy,2023-12-10,2027-12-09,2023-12-07,2027-12-09,ucr - unión cívica radical,2023-12-10,2024-10-24
hcdn2754,rizzotti,jorge,m,jujuy,2023-12-10,2027-12-09,2023-12-07,2027-12-09,democracia para siempre,2024-10-24,2025-12-10
hcdn2754,rizzotti,jorge,m,jujuy,2023-12-10,2027-12-09,2023-12-07,2027-12-09,provincias unidas,2025-12-10,2027-12-09
hcdn1297,roberti,alberto oscar,m,buenos aires,2011-12-10,2015-12-09,2011-12-06,2015-12-09,frente peronista,2011-12-10,2013-02-04
hcdn1297,roberti,alberto oscar,m,buenos aires,2011-12-10,2015-12-09,2011-12-06,2015-12-09,frente renovador peronista,2013-02-05,2013-09-10
hcdn1297,roberti,alberto oscar,m,buenos aires,2011-12-10,2015-12-09,2011-12-06,2015-12-09,frente renovador,2013-09-11,2015-11-04
hcdn1297,roberti,alberto oscar,m,buenos aires,2011-12-10,2015-12-09,2011-12-06,2015-12-09,no integra bloque,2015-11-05,2015-12-09
hcdn1297,roberti,alberto oscar,m,buenos aires,2015-12-10,2019-12-09,2015-12-04,2018-05-17,justicialista de la provincia de buenos aires,2015-12-10,2016-02-03
hcdn1297,roberti,alberto oscar,m,buenos aires,2015-12-10,2019-12-09,2015-12-04,2018-05-17,justicialista,2016-02-04,2018-05-17
hcdn3167,roberto,santiago luis,m,ciudad de buenos aires,2025-12-10,2029-12-09,,2029-12-09,unión por la patria,2025-12-10,2029-12-09
hcdn1209,robledo,roberto ricardo,m,la pampa,2009-12-10,2013-12-09,2009-12-03,2013-12-09,partido justicialista la pampa,2009-12-10,2013-12-09
hcdn3235,roca,gonzalo,m,cordoba,2025-12-10,2029-12-09,,2029-12-09,la libertad avanza,2025-12-10,2029-12-09
hcdn2411,rodenas,alejandra,f,santa fe,2017-12-10,2021-12-09,2017-12-10,2019-12-11,nuevo espacio santafesino,2017-12-10,2019-12-09
hcdn2411,rodenas,alejandra,f,santa fe,2017-12-10,2021-12-09,2017-12-10,2019-12-11,frente de todos,2019-12-10,2019-12-11
hcdn2774,rodriguez,alejandro "topo",m,buenos aires,2019-12-10,2023-12-09,2019-12-04,2023-12-09,consenso federal,2019-12-10,2021-12-09
hcdn2774,rodriguez,alejandro "topo",m,buenos aires,2019-12-10,2023-12-09,2019-12-04,2023-12-09,identidad bonaerense,2021-12-10,2023-11-22
hcdn2774,rodriguez,alejandro "topo",m,buenos aires,2019-12-10,2023-12-09,2019-12-04,2023-12-09,consenso federal,2023-11-22,2023-12-09
