id_diputado,nombre,apellido,nombre_completo,genero,distritos,cantidad_distritos,cantidad_bloques,fecha_inicio,fecha_fin
hcdn1428,laura,esper,laura esper,f,buenos aires,1,1,2011-12-10,2015-12-09
hcdn1429,eduardo jorge,seminara,eduardo jorge seminara,m,santa fe,1,1,2013-12-10,2017-12-09
hcdn1430,hector enrique,olivares,hector enrique olivares,m,la rioja,1,1,2011-12-10,2019-12-09
hcdn1432,ramon ernesto,bernabey,ramon ernesto bernabey,m,cordoba,1,2,2013-12-10,2017-12-09
hcdn1433,luciano andres,laspina,luciano andres laspina,m,santa fe,1,2,2013-12-10,2025-12-09
hcdn1435,myriam,bregman,myriam bregman,f,buenos aires | ciudad de buenos aires,2,6,2013-12-10,2029-12-09
hcdn1436,maria cristina,fernandez blanco,maria cristina fernandez blanco,f,jujuy,1,1,2011-12-10,2015-12-09
hcdn1439,silvia,lospennato,silvia lospennato,f,buenos aires,1,2,2015-12-10,2027-12-09
hcdn1440,emilio,monzo,emilio monzo,m,buenos aires,1,5,2015-12-10,2025-12-09
hcdn1441,samanta maria celeste,acerenza,samanta maria celeste acerenza,f,buenos aires,1,2,2015-12-10,2019-12-09
hcdn1442,alejandro carlos augusto,echegaray,alejandro carlos augusto echegaray,m,buenos aires,1,1,2015-12-10,2019-12-09
hcdn1443,paula marcela,urroz,paula marcela urroz,f,buenos aires,1,2,2015-12-10,2019-12-09
hcdn1445,daniel andres,lipovetzky,daniel andres lipovetzky,m,buenos aires,1,2,2015-12-10,2019-12-09
hcdn1446,sergio omar,buil,sergio omar buil,m,buenos aires,1,2,2015-12-10,2019-12-09
hcdn1447,karina,banfi,karina banfi,f,buenos aires,1,3,2015-12-10,2027-12-09
hcdn1448,waldo ezequiel,wolff,waldo ezequiel wolff,m,buenos aires,1,2,2015-12-10,2023-12-09
hcdn1449,pablo,torello,pablo torello,m,buenos aires,1,2,2015-12-10,2023-12-09
hcdn1450,diego luis,bossio,diego luis bossio,m,buenos aires,1,3,2015-12-10,2019-12-09
hcdn1451,francisco abel,furlan,francisco abel furlan,m,buenos aires,1,1,2015-12-10,2019-12-09
hcdn1452,adrian eduardo,grana,adrian eduardo grana,m,buenos aires,1,1,2015-12-10,2019-12-09
hcdn1453,maria fernanda,raverta,maria fernanda raverta,f,buenos aires,1,1,2015-12-10,2019-12-09
hcdn1454,carlos daniel,castagneto,carlos daniel castagneto,m,buenos aires,1,3,2015-12-10,2027-12-09
hcdn1455,rodolfo,tailhade,rodolfo tailhade,m,buenos aires,1,3,2015-12-10,2027-12-09
hcdn1456,luana,volnovich,luana volnovich,f,buenos aires,1,3,2015-12-10,2027-12-09
hcdn1457,rodrigo martin,rodriguez,rodrigo martin rodriguez,m,buenos aires,1,1,2015-12-10,2019-12-09
hcdn1458,maria isabel,guerin,maria isabel guerin,f,buenos aires,1,1,2015-12-10,2019-12-09
hcdn1459,carlos americo,selva,carlos americo selva,m,buenos aires,1,2,2015-12-10,2023-12-09
hcdn1460,marcela fabiana,passo,marcela fabiana passo,f,buenos aires,1,3,2015-12-10,2025-12-09
hcdn1461,gustavo,bevilacqua,gustavo bevilacqua,m,buenos aires,1,1,2015-12-10,2019-12-09
hcdn1462,raul joaquin,perez,raul joaquin perez,m,buenos aires,1,1,2015-12-10,2019-12-09
hcdn1463,cecilia,moreau,cecilia moreau,f,buenos aires,1,3,2015-12-10,2027-12-09
hcdn1464,anabella ruth,hers cabral,anabella ruth hers cabral,f,ciudad de buenos aires,1,2,2015-12-10,2019-12-09
hcdn1465,marcelo german,wechsler,marcelo german wechsler,m,ciudad de buenos aires,1,2,2015-12-10,2019-12-09
hcdn1466,alvaro,gonzalez,alvaro gonzalez,m,ciudad de buenos aires,1,2,2015-12-10,2027-12-09
hcdn1467,juan carlos,villalonga,juan carlos villalonga,m,ciudad de buenos aires,1,2,2015-12-10,2019-12-09
hcdn1468,marco,lavagna,marco lavagna,m,ciudad de buenos aires,1,2,2015-12-10,2019-12-09
hcdn1469,carla betina,pitiot,carla betina pitiot,f,ciudad de buenos aires,1,1,2015-12-10,2019-12-09
hcdn1470,veronica,mercado,veronica mercado,f,catamarca,1,1,2015-12-10,2019-12-09
hcdn1471,amado,quintar,amado quintar,m,catamarca,1,1,2015-12-10,2019-12-09
hcdn1472,analia,rach quiroga,analia rach quiroga,f,chaco,1,1,2015-12-10,2019-12-09
hcdn1473,maria lucila,masin,maria lucila masin,f,chaco,1,2,2015-12-10,2023-12-09
hcdn1474,horacio,goicoechea,horacio goicoechea,m,chaco,1,1,2015-12-10,2019-12-09
hcdn1475,santiago nicolas,igon,santiago nicolas igon,m,chubut,1,2,2015-12-10,2023-12-09
hcdn1476,ana maria,llanos massa,ana maria llanos massa,f,chubut,1,1,2015-12-10,2019-12-09
hcdn1477,jorge,taboada,jorge taboada,m,chubut,1,2,2015-12-10,2019-12-09
hcdn1478,pedro ruben,miranda,pedro ruben miranda,m,mendoza,1,2,2015-12-10,2019-12-09
hcdn1479,maria cristina,britez,maria cristina britez,f,misiones,1,2,2015-12-10,2023-12-09
hcdn1480,jorge daniel,franco,jorge daniel franco,m,misiones,1,2,2015-12-10,2019-12-09
hcdn1481,daniel,di stefano,daniel di stefano,m,misiones,1,2,2015-12-10,2019-12-09
hcdn1482,leandro gaston,lopez koenig,leandro gaston lopez koenig,m,neuquen,1,2,2015-12-10,2019-12-09
hcdn1483,claudio martin,doñate,claudio martin doñate,m,rio negro,1,1,2015-12-10,2019-12-09
hcdn1484,silvia renee,horne,silvia renee horne,f,rio negro,1,3,2015-12-10,2019-12-09
hcdn1485,sergio javier,wisky,sergio javier wisky,m,rio negro,1,2,2015-12-10,2019-12-09
hcdn1486,javier,david,javier david,m,salta,1,2,2015-12-10,2019-12-09
hcdn1487,miguel,nanni,miguel nanni,m,salta,1,1,2015-12-10,2023-12-09
hcdn1488,enrique roberto,castro molina,enrique roberto castro molina,m,san juan,1,1,2015-12-10,2019-12-09
hcdn1489,maximo carlos,kirchner,maximo carlos kirchner,m,buenos aires | santa cruz,2,3,2015-12-10,2027-12-09
hcdn1490,hector alberto,roquel,hector alberto roquel,m,santa cruz,1,1,2015-12-10,2019-12-09
hcdn1491,silvina patricia,frana,silvina patricia frana,f,santa fe,1,1,2015-12-10,2019-12-09
hcdn1492,alejandro,ramos,alejandro ramos,m,santa fe,1,2,2015-12-10,2019-12-09
hcdn1493,lucila maria,de ponti,lucila maria de ponti,f,santa fe,1,3,2015-12-10,2019-12-09
hcdn1494,matias david,rodriguez,matias david rodriguez,m,tierra del fuego,1,1,2015-12-10,2019-12-09
hcdn1495,analuz ailen,carol,analuz ailen carol,f,tierra del fuego,1,1,2015-12-10,2019-12-09
hcdn1496,jose fernando,orellana,jose fernando orellana,m,tucuman,1,3,2015-12-10,2019-12-09
hcdn1497,mirta alicia,soraire,mirta alicia soraire,f,tucuman,1,2,2015-12-10,2019-12-09
hcdn1498,ana laura,martinez,ana laura martinez,f,santa fe,1,1,2015-12-10,2019-12-09
hcdn1499,lucas ciriaco,incicco,lucas ciriaco incicco,m,santa fe,1,2,2015-12-10,2019-12-09
hcdn1500,jose,nuñez,jose nuñez,m,santa fe,1,3,2015-12-10,2027-12-09
hcdn1501,facundo,garreton,facundo garreton,m,tucuman,1,2,2015-12-10,2019-12-09
hcdn1502,maria teresita,villavicencio,maria teresita villavicencio,f,tucuman,1,3,2015-12-10,2019-12-09
hcdn1503,alejandro ariel,grandinetti,alejandro ariel grandinetti,m,santa fe,1,2,2015-12-10,2019-12-09
hcdn1504,vanesa laura,massetani,vanesa laura massetani,f,santa fe,1,2,2015-12-10,2023-12-09
hcdn1505,hugo maria,marcucci,hugo maria marcucci,m,santa fe,1,1,2015-12-10,2019-12-09
hcdn1507,carlos gaston,roma,carlos gaston roma,m,tierra del fuego,1,2,2015-12-10,2019-12-09
hcdn1508,soledad,sosa,soledad sosa,f,mendoza,1,1,2013-12-10,2017-12-09
hcdn1509,pedro javier,pretto,pedro javier pretto,m,cordoba,1,2,2015-12-10,2019-12-09
hcdn1510,olga maria,rista,olga maria rista,f,cordoba,1,1,2015-12-10,2019-12-09
hcdn1511,leonor maria,martinez villada,leonor maria martinez villada,f,cordoba,1,2,2015-12-10,2023-12-09
hcdn1512,nicolas,massot,nicolas massot,m,buenos aires | cordoba,2,5,2015-12-10,2027-12-09
hcdn1513,juan manuel,pereyra,juan manuel pereyra,m,cordoba,1,1,2015-12-10,2019-12-09
hcdn1514,gabriela beatriz,estevez,gabriela beatriz estevez,f,cordoba,1,3,2015-12-10,2027-12-09
hcdn1515,juan carlos,massei,juan carlos massei,m,cordoba,1,1,2015-12-10,2019-12-09
hcdn1516,adriana monica,nazario,adriana monica nazario,f,cordoba,1,4,2015-12-10,2019-12-09
hcdn1517,jose arnaldo,ruiz aragon,jose arnaldo ruiz aragon,m,corrientes,1,2,2015-12-10,2023-12-09
hcdn1518,oscar alberto,macias,oscar alberto macias,m,corrientes,1,2,2015-12-10,2019-12-09
hcdn1519,julian,dindart,julian dindart,m,corrientes,1,1,2015-12-10,2019-12-09
hcdn1520,marcelo alejandro,monfort,marcelo alejandro monfort,m,entre rios,1,1,2015-12-10,2019-12-09
hcdn1521,yanina celeste,gayol,yanina celeste gayol,f,entre rios,1,2,2015-12-10,2019-12-09
hcdn1522,juan manuel,huss,juan manuel huss,m,entre rios,1,1,2015-12-10,2019-12-09
hcdn1523,martin osvaldo,hernandez,martin osvaldo hernandez,m,formosa,1,1,2015-12-10,2019-12-09
hcdn1524,guillermo,snopek,guillermo snopek,m,jujuy,1,4,2015-12-10,2027-12-09
hcdn1525,silvia alejandra,martinez,silvia alejandra martinez,f,jujuy,1,1,2015-12-10,2019-12-09
hcdn1526,alejandro francisco,snopek,alejandro francisco snopek,m,jujuy,1,2,2015-12-10,2019-12-09
hcdn1527,sergio raul,ziliotto,sergio raul ziliotto,m,la pampa,1,2,2015-12-10,2019-12-09
hcdn1528,karina alejandra,molina,karina alejandra molina,f,la rioja,1,2,2015-12-10,2019-12-09
hcdn1529,luis beder,herrera,luis beder herrera,m,la rioja,1,2,2015-12-10,2019-12-09
hcdn1530,elva susana,balbo,elva susana balbo,f,mendoza,1,2,2015-12-10,2019-12-09
hcdn1531,mariana elizabet,morales,mariana elizabet morales,f,santiago del estero,1,1,2015-12-10,2019-12-09
hcdn1537,rogelio,frigerio,rogelio frigerio,m,entre rios,1,1,2021-12-10,2025-12-09
hcdn1548,laura elena,rodriguez machado,laura elena rodriguez machado,f,cordoba,1,2,2021-12-10,2029-12-09
hcdn1555,pamela fernanda,verasay,pamela fernanda verasay,f,mendoza,1,2,2021-12-10,2029-12-09
hcdn1558,julio,raffo,julio raffo,m,ciudad de buenos aires,1,2,2013-12-10,2017-12-09
hcdn1559,lucila beatriz,dure,lucila beatriz dure,f,formosa,1,1,2013-12-10,2017-12-09
hcdn1560,sixto osvaldo,bermejo,sixto osvaldo bermejo,m,chubut,1,1,2013-12-10,2017-12-09
hcdn1561,andres ernesto,guzman,andres ernesto guzman,m,cordoba,1,3,2013-12-10,2017-12-09
hcdn1562,dario,martinez,dario martinez,m,neuquen,1,2,2013-12-10,2023-12-09
hcdn1563,maria paula,lopardo,maria paula lopardo,f,ciudad de buenos aires,1,1,2013-12-10,2017-12-09
hcdn1564,jose luis,patiño,jose luis patiño,m,ciudad de buenos aires,1,2,2013-12-10,2021-12-09
hcdn1565,martin,maquieyra,martin maquieyra,m,la pampa,1,2,2013-12-10,2025-12-09
hcdn1566,eduardo raul,conesa,eduardo raul conesa,m,ciudad de buenos aires,1,1,2013-12-10,2017-12-09
hcdn1567,alicia irma,besada,alicia irma besada,f,ciudad de buenos aires,1,1,2013-12-10,2017-12-09
hcdn1568,horacio fernando,alonso,horacio fernando alonso,m,buenos aires,1,1,2013-12-10,2017-12-09
