"ID","APELLIDO","NOMBRE","GENERO","DISTRITO","INICIO","FIN","JURAMENTO","CESE","BLOQUE","BLOQUE_INICIO","BLOQUE_FIN"
"HCDN1020","SCIUTTO","RUBEN DARIO","M","TIERRA DEL FUEGO","2007-12-10T00:00:00","2011-12-09T00:00:00","2007-12-05T00:00:00","2011-12-09T00:00:00","FRENTE PARA LA VICTORIA - PJ","2007-12-10T00:00:00","2011-12-09T00:00:00"
"HCDN1020","SCIUTTO","RUBEN DARIO","M","TIERRA DEL FUEGO","2011-12-10T00:00:00","2015-12-09T00:00:00","2011-12-06T00:00:00","2015-12-09T00:00:00","FRENTE PARA LA VICTORIA - PJ","2011-12-10T00:00:00","2013-09-25T00:00:00"
"HCDN1020","SCIUTTO","RUBEN DARIO","M","TIERRA DEL FUEGO","2011-12-10T00:00:00","2015-12-09T00:00:00","2011-12-06T00:00:00","2015-12-09T00:00:00","PERONISMO MAS AL SUR","2013-09-26T00:00:00","2015-12-09T00:00:00"
"HCDN1369","SCOTTO","SILVIA CAROLINA","F","CORDOBA","2013-12-10T00:00:00","2017-12-09T00:00:00","2013-12-04T00:00:00","2014-08-26T00:00:00","FRENTE PARA LA VICTORIA - PJ","2013-12-10T00:00:00","2014-08-26T00:00:00"
"HCDN1086","SEGARRA","ADELA ROSA","F","BUENOS AIRES","2007-12-10T00:00:00","2011-12-09T00:00:00","2007-12-19T00:00:00","2011-12-09T00:00:00","FRENTE PARA LA VICTORIA - PJ","2007-12-10T00:00:00","2011-12-09T00:00:00"
"HCDN1086","SEGARRA","ADELA ROSA","F","BUENOS AIRES","2011-12-10T00:00:00","2015-12-09T00:00:00","2011-12-06T00:00:00","2015-12-09T00:00:00","FRENTE PARA LA VICTORIA - PJ","2011-12-10T00:00:00","2015-12-09T00:00:00"
"HCDN1459","SELVA","CARLOS AMERICO","M","BUENOS AIRES","2015-12-10T00:00:00","2019-12-09T00:00:00","2015-12-04T00:00:00","2019-12-09T00:00:00","FEDERAL UNIDOS POR UNA NUEVA ARGENTINA","2015-12-10T00:00:00","2019-12-09T00:00:00"
"HCDN1459","SELVA","CARLOS AMERICO","M","BUENOS AIRES","2019-12-10T00:00:00","2023-12-09T00:00:00","2019-12-04T00:00:00","2023-12-09T00:00:00","FRENTE DE TODOS","2019-12-10T00:00:00","2023-12-09T00:00:00"
"HCDN3054","SELVA","SABRINA","F","BUENOS AIRES","2023-12-10T00:00:00","2027-12-09T00:00:00","2023-12-07T00:00:00","2027-12-09T00:00:00","UNIÓN POR LA PATRIA","2023-12-10T00:00:00","2027-12-09T00:00:00"
"HCDN1371","SEMHAN","MARIA DE LAS MERCEDES","F","CORRIENTES","2013-12-10T00:00:00","2017-12-09T00:00:00","2013-12-04T00:00:00","2017-12-09T00:00:00","ENCUENTRO POR CORRIENTES","2013-12-10T00:00:00","2015-12-09T00:00:00"
"HCDN1371","SEMHAN","MARIA DE LAS MERCEDES","F","CORRIENTES","2013-12-10T00:00:00","2017-12-09T00:00:00","2013-12-04T00:00:00","2017-12-09T00:00:00","UCR","2015-12-10T00:00:00","2017-12-09T00:00:00"
"HCDN1429","SEMINARA","EDUARDO JORGE","M","SANTA FE","2013-12-10T00:00:00","2017-12-09T00:00:00","2014-04-03T00:00:00","2017-12-09T00:00:00","FRENTE PARA LA VICTORIA - PJ","2014-04-03T00:00:00","2017-12-09T00:00:00"
"HCDN1087","SEREBRINSKY","GUSTAVO EDUARDO","M","BUENOS AIRES","2007-12-10T00:00:00","2011-12-09T00:00:00","2007-12-19T00:00:00","2011-12-09T00:00:00","DE LA CONCERTACION","2007-12-10T00:00:00","2009-11-11T00:00:00"
"HCDN1087","SEREBRINSKY","GUSTAVO EDUARDO","M","BUENOS AIRES","2007-12-10T00:00:00","2011-12-09T00:00:00","2007-12-19T00:00:00","2011-12-09T00:00:00","UCR","2009-11-12T00:00:00","2011-12-09T00:00:00"
"HCDN3216","SERQUIS","ADRIANA CRISTINA","F","RIO NEGRO","2025-12-10T00:00:00","2029-12-09T00:00:00",NA,"2029-12-09T00:00:00","UNIÓN POR LA PATRIA","2025-12-10T00:00:00","2029-12-09T00:00:00"
"HCDN2420","SIERRA","MAGDALENA","F","BUENOS AIRES","2017-12-10T00:00:00","2021-12-09T00:00:00","2017-12-06T00:00:00","2021-02-10T00:00:00","FRENTE PARA LA VICTORIA - PJ","2017-12-10T00:00:00","2019-12-09T00:00:00"
"HCDN2420","SIERRA","MAGDALENA","F","BUENOS AIRES","2017-12-10T00:00:00","2021-12-09T00:00:00","2017-12-06T00:00:00","2021-02-10T00:00:00","FRENTE DE TODOS","2019-12-10T00:00:00","2021-02-10T00:00:00"
"HCDN2421","SILEY","VANESA RAQUEL","F","BUENOS AIRES","2017-12-10T00:00:00","2021-12-09T00:00:00","2017-12-06T00:00:00","2021-12-09T00:00:00","FRENTE PARA LA VICTORIA - PJ","2017-12-10T00:00:00","2019-12-09T00:00:00"
"HCDN2421","SILEY","VANESA RAQUEL","F","BUENOS AIRES","2017-12-10T00:00:00","2021-12-09T00:00:00","2017-12-06T00:00:00","2021-12-09T00:00:00","FRENTE DE TODOS","2019-12-10T00:00:00","2021-12-09T00:00:00"
"HCDN2421","SILEY","VANESA RAQUEL","F","BUENOS AIRES","2021-12-10T00:00:00","2025-12-09T00:00:00","2021-12-07T00:00:00","2025-12-09T00:00:00","FRENTE DE TODOS","2021-12-10T00:00:00","2023-12-09T00:00:00"
"HCDN2421","SILEY","VANESA RAQUEL","F","BUENOS AIRES","2021-12-10T00:00:00","2025-12-09T00:00:00","2021-12-07T00:00:00","2025-12-09T00:00:00","UNIÓN POR LA PATRIA","2023-12-10T00:00:00","2025-12-09T00:00:00"
"HCDN2421","SILEY","VANESA RAQUEL","F","BUENOS AIRES","2021-12-10T00:00:00","2025-12-09T00:00:00","2021-12-07T00:00:00","2025-12-09T00:00:00","UNIÓN POR LA PATRIA","2025-12-10T00:00:00","2025-12-09T00:00:00"
"HCDN2421","SILEY","VANESA RAQUEL","F","BUENOS AIRES","2025-12-10T00:00:00","2029-12-09T00:00:00",NA,"2029-12-09T00:00:00","UNIÓN POR LA PATRIA","2025-12-10T00:00:00","2029-12-09T00:00:00"
"HCDN1303","SIMONCINI","SILVIA ROSA","F","SANTA FE","2011-12-10T00:00:00","2015-12-09T00:00:00","2011-12-06T00:00:00","2015-12-09T00:00:00","FRENTE PARA LA VICTORIA - PJ","2011-12-10T00:00:00","2015-12-09T00:00:00"
"HCDN0792","SLUGA","JUAN CARLOS","M","BUENOS AIRES","2007-12-10T00:00:00","2011-12-09T00:00:00","2007-12-19T00:00:00","2011-12-09T00:00:00","FRENTE PARA LA VICTORIA - PJ","2007-12-10T00:00:00","2011-12-09T00:00:00"
"HCDN1526","SNOPEK","ALEJANDRO FRANCISCO","M","JUJUY","2015-12-10T00:00:00","2019-12-09T00:00:00","2015-12-04T00:00:00","2019-12-09T00:00:00","FEDERAL UNIDOS POR UNA NUEVA ARGENTINA","2015-12-10T00:00:00","2019-06-25T00:00:00"
"HCDN1526","SNOPEK","ALEJANDRO FRANCISCO","M","JUJUY","2015-12-10T00:00:00","2019-12-09T00:00:00","2015-12-04T00:00:00","2019-12-09T00:00:00","CONSENSO FEDERAL","2019-06-26T00:00:00","2019-12-09T00:00:00"
"HCDN1524","SNOPEK","GUILLERMO","M","JUJUY","2015-12-10T00:00:00","2019-12-09T00:00:00","2015-12-04T00:00:00","2017-12-09T00:00:00","FRENTE PARA LA VICTORIA - PJ","2015-12-10T00:00:00","2016-02-03T00:00:00"
"HCDN1524","SNOPEK","GUILLERMO","M","JUJUY","2015-12-10T00:00:00","2019-12-09T00:00:00","2015-12-04T00:00:00","2017-12-09T00:00:00","JUSTICIALISTA","2016-02-04T00:00:00","2017-12-09T00:00:00"
"HCDN1524","SNOPEK","GUILLERMO","M","JUJUY","2015-12-10T00:00:00","2019-12-09T00:00:00","2015-12-04T00:00:00","2017-12-09T00:00:00","JUSTICIALISTA","2017-12-10T00:00:00","2019-12-09T00:00:00"
"HCDN1524","SNOPEK","GUILLERMO","M","JUJUY","2023-12-10T00:00:00","2027-12-09T00:00:00","2023-12-07T00:00:00","2027-12-09T00:00:00","JUSTICIALISTA","2023-12-10T00:00:00","2023-12-13T00:00:00"
"HCDN1524","SNOPEK","GUILLERMO","M","JUJUY","2023-12-10T00:00:00","2027-12-09T00:00:00","2023-12-07T00:00:00","2027-12-09T00:00:00","SIN BLOQUE","2023-12-14T00:00:00","2023-12-14T00:00:00"
"HCDN1524","SNOPEK","GUILLERMO","M","JUJUY","2023-12-10T00:00:00","2027-12-09T00:00:00","2023-12-07T00:00:00","2027-12-09T00:00:00","UNIÓN POR LA PATRIA","2023-12-15T00:00:00","2027-12-09T00:00:00"
"HCDN1089","SOLA","FELIPE CARLOS","M","BUENOS AIRES","2007-12-10T00:00:00","2011-12-09T00:00:00","2007-12-19T00:00:00","2009-05-11T00:00:00","FRENTE PARA LA VICTORIA - PJ","2007-12-10T00:00:00","2008-11-18T00:00:00"
"HCDN1089","SOLA","FELIPE CARLOS","M","BUENOS AIRES","2007-12-10T00:00:00","2011-12-09T00:00:00","2007-12-19T00:00:00","2009-05-11T00:00:00","UNION PERONISTA","2008-11-19T00:00:00","2009-05-11T00:00:00"
"HCDN1089","SOLA","FELIPE CARLOS","M","BUENOS AIRES","2007-12-10T00:00:00","2011-12-09T00:00:00","2007-12-19T00:00:00","2009-05-11T00:00:00","PERONISMO FEDERAL","2009-12-10T00:00:00","2011-10-03T00:00:00"
"HCDN1089","SOLA","FELIPE CARLOS","M","BUENOS AIRES","2007-12-10T00:00:00","2011-12-09T00:00:00","2007-12-19T00:00:00","2009-05-11T00:00:00","NO INTEGRA BLOQUE","2011-10-04T00:00:00","2011-10-25T00:00:00"
"HCDN1089","SOLA","FELIPE CARLOS","M","BUENOS AIRES","2009-12-10T00:00:00","2013-12-09T00:00:00","2009-12-03T00:00:00","2013-12-09T00:00:00","PERONISMO FEDERAL","2009-12-10T00:00:00","2011-10-03T00:00:00"
"HCDN1089","SOLA","FELIPE CARLOS","M","BUENOS AIRES","2009-12-10T00:00:00","2013-12-09T00:00:00","2009-12-03T00:00:00","2013-12-09T00:00:00","NO INTEGRA BLOQUE","2011-10-04T00:00:00","2011-10-25T00:00:00"
"HCDN1089","SOLA","FELIPE CARLOS","M","BUENOS AIRES","2009-12-10T00:00:00","2013-12-09T00:00:00","2009-12-03T00:00:00","2013-12-09T00:00:00","UNION PERONISTA","2011-10-26T00:00:00","2013-09-10T00:00:00"
"HCDN1089","SOLA","FELIPE CARLOS","M","BUENOS AIRES","2009-12-10T00:00:00","2013-12-09T00:00:00","2009-12-03T00:00:00","2013-12-09T00:00:00","FRENTE RENOVADOR","2013-09-11T00:00:00","2013-12-09T00:00:00"
"HCDN1089","SOLA","FELIPE CARLOS","M","BUENOS AIRES","2013-12-10T00:00:00","2017-12-09T00:00:00","2013-12-04T00:00:00","2017-12-09T00:00:00","FRENTE RENOVADOR","2013-12-10T00:00:00","2015-12-09T00:00:00"
